date,total_events,conflict_war_count,econ_policy_count,government_political_count,civil_unrest_protest_count,diplomatic_relations_count,avg_goldstein_scale,avg_tone
2016-03-17,116672,21284,47780,38184,3896,26618,2.0480295186505746,-1.5551105013472204
2016-03-18,110026,21738,45817,35230,3982,24843,1.7348008652500309,-1.6852010754912101
2016-03-19,73589,17499,32483,23024,2675,15282,1.0804671893897189,-2.1556963542645646
2016-03-20,70054,16140,30519,22068,2846,14519,1.1722285665343872,-2.0845577491297931
2016-03-21,107517,22540,45785,34429,3744,23451,1.5737046234548964,-1.7055588024969692
2016-03-22,115825,27129,52094,35020,3742,24809,1.2430960500755441,-2.1612225797220028
2016-03-23,116397,25694,50550,36132,3494,26043,1.4727252420595023,-2.0131576972123648
2016-03-24,110702,23973,48085,34714,3267,24330,1.5560965474878514,-1.9424546272978769
2016-03-25,95095,24100,43969,28892,2807,19217,0.987894211052106,-2.2344085630795245
2016-03-26,67892,18302,32083,20586,2041,13036,0.7369645908207163,-2.2940977076002733
2016-03-27,65957,17220,30524,21078,2146,12109,0.78930666949679373,-2.2395954988123323
2016-03-28,95737,22144,43021,29658,3315,19574,1.2699614569079871,-2.0953025992650964
2016-03-29,110532,22490,48236,34689,3487,23977,1.7597790685050487,-1.8920434001702366
2016-03-30,114032,21578,47726,37079,3555,25494,1.9589808124035364,-1.7306223858569887
2016-03-31,116752,22693,49751,36944,3897,25948,1.8599158900918198,-1.7546025315603924
2016-04-01,108354,21606,46259,34674,3265,24016,1.8287622053639012,-1.8296668782473811
2016-04-02,78684,19314,35986,23422,2742,16430,1.0574170098113986,-2.3899713227710935
2016-04-03,73284,19165,34481,21395,2505,14791,0.843091261394028,-2.5038980971980589
2016-04-04,110518,23449,48005,34566,3862,23936,1.6194276045531035,-2.0270910869487242
2016-04-05,117039,23655,50314,35927,3660,27019,1.7924862652620046,-1.9960158246432651
2016-04-06,116968,21610,48432,37512,3790,27087,2.0292344914848495,-1.7409352453933933
2016-04-07,118029,22330,48631,38359,3688,27202,1.94108566538732,-1.5802784358513311
2016-04-08,115543,22163,48590,36572,3516,26746,1.9359225569701357,-1.6681721218738741
2016-04-09,79603,17067,34300,24174,3024,17989,1.4823260429883298,-1.9855374785155468
2016-04-10,75926,16953,32857,23684,2571,16714,1.3828214313937277,-1.9841800443732842
2016-04-11,107704,21667,45550,34438,3313,24285,1.7851481839114598,-1.7049991627065462
2016-04-12,113953,21313,46593,37021,3205,27023,2.0316226865462093,-1.6239343758819229
2016-04-13,115609,21362,46759,38041,3577,27099,2.0113849267790544,-1.5820527068105594
2016-04-14,113495,20812,45951,37924,3685,25812,2.0214679060751553,-1.5207538417667448
2016-04-15,110492,20782,45531,35157,3993,25716,1.8945606921768079,-1.6660504660507933
2016-04-16,76974,13946,30922,24596,2910,18477,1.92729363161587,-1.9211178799731332
2016-04-17,71942,13543,29469,22545,2495,17336,1.8834102471435328,-1.8297399652942186
